Município;Pluviometria observada (mm);Data
Água Branca;213,2;05/1996
Aguiar;160,3;05/1996
Alagoa Grande;126,4;05/1996
Alagoa Nova;143,6;05/1996
Alagoinha;122,6;05/1996
Algodão de Jandaíra;18,4;05/1996
Alhandra;197,9;05/1996
Aparecida;82,6;05/1996
Araçagi;123,2;05/1996
Arara;60,6;05/1996
Araruna;37,4;05/1996
Areia;104,6;05/1996
Areial;93,2;05/1996
Aroeiras;28,6;05/1996
Baía da Traição;250,1;05/1996
Bananeiras;60,4;05/1996
Barra de Santana;31,4;05/1996
Barra de Santa Rosa;27,8;05/1996
Barra de São Miguel;0,0;05/1996
Bayeux;241,3;05/1996
Belém;68,5;05/1996
Belém do Brejo do Cruz;79,6;05/1996
Boa Ventura;117,4;05/1996
Boa Vista;4,6;05/1996
Bom Jesus;205,2;05/1996
Bom Sucesso;159,5;05/1996
Bonito de Santa Fé;114,1;05/1996
Boqueirão;13,1;05/1996
Borborema;73,3;05/1996
Brejo do Cruz;125,4;05/1996
Brejo dos Santos;168,4;05/1996
Cabaceiras;0,0;05/1996
Cachoeira dos Índios;124,9;05/1996
Cacimba de Areia;152,2;05/1996
Cacimba de Dentro;44,4;05/1996
Caiçara;74,8;05/1996
Cajazeiras;151,2;05/1996
Caldas Brandão;102,4;05/1996
Camalaú;71,9;05/1996
Campina Grande;66,7;05/1996
Campo de Santana;22,5;05/1996
Caraúbas;0,0;05/1996
Carrapateira;181,0;05/1996
Casserengue;34,1;05/1996
Catingueira;123,7;05/1996
Catolé do Rocha;156,1;05/1996
Conceição;74,6;05/1996
Condado;161,3;05/1996
Conde;174,1;05/1996
Congo;75,0;05/1996
Coremas;151,9;05/1996
Coxixola;39,6;05/1996
Cruz do Espírito Santo;133,1;05/1996
Cubati;37,2;05/1996
Cuité;34,8;05/1996
Cuitegi;67,1;05/1996
Curral Velho;59,1;05/1996
Desterro;50,9;05/1996
Diamante;84,8;05/1996
Dona Inês;56,8;05/1996
Duas Estradas;89,8;05/1996
Emas;147,8;05/1996
Esperança;94,6;05/1996
Fagundes;97,6;05/1996
Frei Martinho;77,8;05/1996
Gado Bravo;25,2;05/1996
Guarabira;77,0;05/1996
Gurinhém;72,8;05/1996
Gurjão;0,0;05/1996
Ibiara;107,4;05/1996
Igaracy;295,8;05/1996
Imaculada;148,3;05/1996
Ingá;110,7;05/1996
Itabaiana;81,5;05/1996
Itaporanga;104,4;05/1996
Itapororoca;108,8;05/1996
Itatuba;70,7;05/1996
Jacaraú;109,2;05/1996
Jericó;210,0;05/1996
João Pessoa;317,7;05/1996
Juarez Távora;76,8;05/1996
Juazeirinho;0,0;05/1996
Junco do Seridó;24,3;05/1996
Juripiranga;91,8;05/1996
Juru;110,5;05/1996
Lagoa;152,0;05/1996
Lagoa de Dentro;107,2;05/1996
Lagoa Seca;128,1;05/1996
Livramento;29,7;05/1996
Lucena;87,0;05/1996
Mãe D`Água;87,7;05/1996
Malta;108,4;05/1996
Mamanguape;117,4;05/1996
Manaíra;32,5;05/1996
Mari;92,7;05/1996
Massaranduba;114,0;05/1996
Mataraca;87,3;05/1996
Mogeiro;106,7;05/1996
Montadas;16,7;05/1996
Monte Horebe;121,4;05/1996
Monteiro;133,7;05/1996
Mulungu;92,0;05/1996
Natuba;104,8;05/1996
Nazarezinho;114,9;05/1996
Nova Floresta;47,2;05/1996
Nova Olinda;177,6;05/1996
Nova Palmeira;22,0;05/1996
Olho D`Água;177,1;05/1996
Olivedos;57,6;05/1996
Ouro Velho;160,0;05/1996
Passagem;100,8;05/1996
Patos;98,8;05/1996
Paulista;165,0;05/1996
Pedra Branca;154,4;05/1996
Pedra Lavrada;17,2;05/1996
Pedras de Fogo;156,0;05/1996
Piancó;126,0;05/1996
Picuí;49,3;05/1996
Pilar;101,5;05/1996
Pilões;63,6;05/1996
Pilõezinhos;26,6;05/1996
Pirpirituba;119,4;05/1996
Pitimbu;302,1;05/1996
Pocinhos;37,5;05/1996
Pombal;96,0;05/1996
Prata;123,6;05/1996
Princesa Isabel;38,8;05/1996
Puxinanã;76,7;05/1996
Queimadas;61,0;05/1996
Quixaba;48,3;05/1996
Remígio;76,2;05/1996
Riacho de Santo Antônio;28,2;05/1996
Riacho dos Cavalos;97,3;05/1996
Rio Tinto;114,4;05/1996
Salgadinho;62,9;05/1996
Salgado de São Félix;49,0;05/1996
Santa Cruz;117,0;05/1996
Santa Helena;148,0;05/1996
Santa Luzia;32,0;05/1996
Santana de Mangueira;59,7;05/1996
Santana dos Garrotes;174,2;05/1996
Santa Rita;195,7;05/1996
Santa Teresinha;198,0;05/1996
São Bento;97,2;05/1996
São Francisco;101,3;05/1996
São João do Cariri;5,6;05/1996
São João do Rio do Peixe;159,1;05/1996
São João do Tigre;86,6;05/1996
São José da Lagoa Tapada;142,4;05/1996
São José de Caiana;99,4;05/1996
São José de Espinharas;65,2;05/1996
São José de Piranhas;197,9;05/1996
São José do Bonfim;194,0;05/1996
São José do Sabugi;24,5;05/1996
São José dos Cordeiros;59,8;05/1996
São Mamede;59,8;05/1996
São Miguel de Taipu;135,8;05/1996
