Município;Pluviometria observada (mm);Data
Água Branca;110,2;01/1996
Aguiar;376,9;01/1996
Alagoa Grande;75,6;01/1996
Alagoa Nova;118,3;01/1996
Alagoinha;96,2;01/1996
Algodão de Jandaíra;0,0;01/1996
Alhandra;125,1;01/1996
Aparecida;329,0;01/1996
Araçagi;101,2;01/1996
Arara;39,1;01/1996
Araruna;75,4;01/1996
Areia;68,5;01/1996
Areial;44,0;01/1996
Aroeiras;42,1;01/1996
Baía da Traição;86,2;01/1996
Bananeiras;94,6;01/1996
Barra de Santana;34,4;01/1996
Barra de Santa Rosa;18,1;01/1996
Barra de São Miguel;13,7;01/1996
Belém;40,4;01/1996
Belém do Brejo do Cruz;151,8;01/1996
Boa Ventura;199,1;01/1996
Boa Vista;20,2;01/1996
Bom Jesus;514,6;01/1996
Bom Sucesso;186,7;01/1996
Bonito de Santa Fé;121,7;01/1996
Boqueirão;24,6;01/1996
Brejo do Cruz;304,9;01/1996
Brejo dos Santos;215,0;01/1996
Cabaceiras;4,1;01/1996
Cachoeira dos Índios;449,5;01/1996
Cacimba de Areia;157,7;01/1996
Cacimba de Dentro;43,0;01/1996
Caiçara;6,0;01/1996
Cajazeiras;494,8;01/1996
Caldas Brandão;51,1;01/1996
Camalaú;19,2;01/1996
Campina Grande;27,2;01/1996
Campo de Santana;8,0;01/1996
Caraúbas;54,3;01/1996
Carrapateira;420,3;01/1996
Casserengue;34,3;01/1996
Catingueira;143,8;01/1996
Catolé do Rocha;202,6;01/1996
Conceição;244,5;01/1996
Condado;278,6;01/1996
Congo;82,2;01/1996
Coremas;163,3;01/1996
Coxixola;36,0;01/1996
Cruz do Espírito Santo;103,4;01/1996
Cubati;39,7;01/1996
Cuité;72,5;01/1996
Curral Velho;376,9;01/1996
Desterro;82,1;01/1996
Diamante;214,3;01/1996
Dona Inês;31,2;01/1996
Emas;122,8;01/1996
Esperança;49,9;01/1996
Fagundes;58,9;01/1996
Frei Martinho;57,3;01/1996
Gado Bravo;30,3;01/1996
Guarabira;75,8;01/1996
Gurinhém;60,1;01/1996
Gurjão;24,0;01/1996
Ibiara;169,3;01/1996
Igaracy;168,4;01/1996
Imaculada;173,0;01/1996
Ingá;49,4;01/1996
Itabaiana;92,3;01/1996
Itaporanga;163,0;01/1996
Itapororoca;62,0;01/1996
Itatuba;48,9;01/1996
Jacaraú;68,8;01/1996
Jericó;82,5;01/1996
João Pessoa;151,2;01/1996
Juarez Távora;26,7;01/1996
Juazeirinho;27,0;01/1996
Junco do Seridó;22,2;01/1996
Juripiranga;126,0;01/1996
Juru;210,9;01/1996
Lagoa;199,8;01/1996
Lagoa de Dentro;30,6;01/1996
Lagoa Seca;64,6;01/1996
Lastro;307,9;01/1996
Livramento;33,4;01/1996
Mãe D`Água;100,3;01/1996
Malta;200,7;01/1996
Mamanguape;110,0;01/1996
Manaíra;305,8;01/1996
Massaranduba;53,5;01/1996
Mogeiro;57,6;01/1996
Montadas;12,6;01/1996
Monte Horebe;403,4;01/1996
Monteiro;46,9;01/1996
Mulungu;65,8;01/1996
Natuba;86,3;01/1996
Nazarezinho;439,0;01/1996
Nova Floresta;105,6;01/1996
Nova Olinda;230,5;01/1996
Nova Palmeira;57,1;01/1996
Olho D`Água;305,5;01/1996
Olivedos;35,0;01/1996
Ouro Velho;86,5;01/1996
Passagem;94,6;01/1996
Patos;232,4;01/1996
Paulista;162,4;01/1996
Pedra Branca;288,3;01/1996
Pedra Lavrada;35,0;01/1996
Pedras de Fogo;170,3;01/1996
Piancó;117,0;01/1996
Picuí;74,6;01/1996
Pilar;55,8;01/1996
Pilões;51,8;01/1996
Pocinhos;18,7;01/1996
Pombal;214,5;01/1996
Prata;68,6;01/1996
Princesa Isabel;147,2;01/1996
Puxinanã;17,4;01/1996
Queimadas;42,2;01/1996
Quixaba;119,0;01/1996
Remígio;36,4;01/1996
Riacho de Santo Antônio;11,0;01/1996
Riacho dos Cavalos;328,9;01/1996
Rio Tinto;112,4;01/1996
Salgadinho;40,3;01/1996
Salgado de São Félix;65,5;01/1996
Santa Cruz;237,9;01/1996
Santa Helena;330,1;01/1996
Santa Luzia;58,5;01/1996
Santana de Mangueira;333,3;01/1996
Santana dos Garrotes;194,3;01/1996
Santa Teresinha;283,7;01/1996
São Bento;191,2;01/1996
São Francisco;357,4;01/1996
São João do Cariri;103,7;01/1996
São João do Rio do Peixe;389,7;01/1996
São João do Tigre;30,4;01/1996
São José da Lagoa Tapada;438,2;01/1996
São José de Caiana;271,4;01/1996
São José de Espinharas;66,8;01/1996
São José de Piranhas;401,4;01/1996
São José do Bonfim;163,0;01/1996
São José do Sabugi;67,2;01/1996
São José dos Cordeiros;31,0;01/1996
São Mamede;153,9;01/1996
São Miguel de Taipu;54,3;01/1996
São Sebastião de Lagoa de Roça;55,1;01/1996
São Sebastião do Umbuzeiro;69,8;01/1996
São Vicente do Seridó;55,9;01/1996
Sapé;74,5;01/1996
Serra Branca;45,8;01/1996
Serra da Raiz;44,8;01/1996
Serra Grande;248,8;01/1996
Serra Redonda;50,4;01/1996
Serraria;139,4;01/1996
Solânea;103,8;01/1996
Soledade;41,4;01/1996
Sossêgo;33,0;01/1996
Sousa;396,3;01/1996
Sumé;13,1;01/1996
Taperoá;56,9;01/1996
Tavares;197,6;01/1996
Teixeira;147,1;01/1996
Triunfo;330,5;01/1996
Uiraúna;300,8;01/1996
Umbuzeiro;71,6;01/1996
Várzea;67,1;01/1996
Vista Serrana;120,5;01/1996
