Município;Pluviometria observada (mm);Data
Água Branca;0,0;06/2016
Aguiar;0,0;06/2016
Alagoa Grande;27,1;06/2016
Alagoa Nova;31,0;06/2016
Alagoinha;59,3;06/2016
Alcantil;6,0;06/2016
Algodão de Jandaíra;2,5;06/2016
Alhandra;155,0;06/2016
Amparo;0,0;06/2016
Aparecida;12,1;06/2016
Araçagi;69,4;06/2016
Arara;18,1;06/2016
Araruna;68,3;06/2016
Areia;77,6;06/2016
Areia de Baraúnas;0,0;06/2016
Areial;24,2;06/2016
Aroeiras;23,4;06/2016
Assunção;0,0;06/2016
Baía da Traição;240,7;06/2016
Bananeiras;75,1;06/2016
Baraúna;4,0;06/2016
Barra de Santana;18,0;06/2016
Barra de Santa Rosa;2,8;06/2016
Barra de São Miguel;0,0;06/2016
Bayeux;175,9;06/2016
Belém;58,5;06/2016
Belém do Brejo do Cruz;0,0;06/2016
Bernardino Batista;20,0;06/2016
Boa Ventura;8,8;06/2016
Boa Vista;3,8;06/2016
Bom Jesus;0,0;06/2016
Bom Sucesso;51,1;06/2016
Bonito de Santa Fé;5,7;06/2016
Boqueirão;26,9;06/2016
Borborema;70,9;06/2016
Brejo do Cruz;1,5;06/2016
Brejo dos Santos;15,6;06/2016
Caaporã;187,1;06/2016
Cabaceiras;12,5;06/2016
Cabedelo;225,9;06/2016
Cachoeira dos Índios;1,7;06/2016
Cacimba de Areia;0,0;06/2016
Cacimba de Dentro;20,3;06/2016
Cacimbas;0,0;06/2016
Caiçara;56,1;06/2016
Cajazeiras;2,9;06/2016
Cajazeirinhas;3,2;06/2016
Caldas Brandão;31,4;06/2016
Camalaú;0,0;06/2016
Campina Grande;16,7;06/2016
Capim;113,5;06/2016
Caraúbas;0,0;06/2016
Carrapateira;0,0;06/2016
Casserengue;6,6;06/2016
Catingueira;8,5;06/2016
Catolé do Rocha;27,7;06/2016
Caturité;29,1;06/2016
Conceição;0,0;06/2016
Condado;30,0;06/2016
Congo;0,0;06/2016
Coremas;0,0;06/2016
Coxixola;0,0;06/2016
Cruz do Espírito Santo;110,7;06/2016
Cubati;10,6;06/2016
Cuité;8,3;06/2016
Cuité de Mamanguape;64,5;06/2016
Cuitegi;60,1;06/2016
Curral Velho;0,0;06/2016
Damião;22,5;06/2016
Desterro;0,0;06/2016
Diamante;0,0;06/2016
Dona Inês;48,6;06/2016
Duas Estradas;92,7;06/2016
Emas;19,1;06/2016
Esperança;25,5;06/2016
Fagundes;29,9;06/2016
Frei Martinho;14,0;06/2016
Gado Bravo;22,9;06/2016
Guarabira;51,9;06/2016
Gurinhém;36,6;06/2016
Gurjão;0,7;06/2016
Ibiara;18,6;06/2016
Igaracy;0,0;06/2016
Imaculada;0,0;06/2016
Ingá;23,3;06/2016
Itabaiana;31,6;06/2016
Itaporanga;3,0;06/2016
Itapororoca;62,9;06/2016
Itatuba;21,9;06/2016
Jacaraú;84,7;06/2016
Jericó;0,0;06/2016
João Pessoa;224,3;06/2016
Joca Claudino;11,5;06/2016
Juarez Távora;24,7;06/2016
Juazeirinho;0,0;06/2016
Junco do Seridó;0,0;06/2016
Juripiranga;54,1;06/2016
Juru;0,0;06/2016
Lagoa;18,5;06/2016
Lagoa de Dentro;92,9;06/2016
Lagoa Seca;40,4;06/2016
Lastro;33,8;06/2016
Livramento;1,1;06/2016
Logradouro;57,2;06/2016
Mãe d'Água;14,2;06/2016
Malta;20,7;06/2016
Mamanguape;140,7;06/2016
Manaíra;6,7;06/2016
Mari;28,2;06/2016
Marizópolis;14,0;06/2016
Mataraca;205,6;06/2016
Matinhas;42,9;06/2016
Mato Grosso;13,6;06/2016
Maturéia;18,9;06/2016
Mogeiro;9,1;06/2016
