Município;Pluviometria observada (mm);Data
Água Branca;65,6;02/2001
Aguiar;153,2;02/2001
Alagoa Grande;10,0;02/2001
Alagoa Nova;56,6;02/2001
Alagoinha;6,8;02/2001
Alcantil;5,1;02/2001
Algodão de Jandaíra;0,0;02/2001
Alhandra;25,3;02/2001
Amparo;5,3;02/2001
Aparecida;29,0;02/2001
Araçagi;0,0;02/2001
Arara;9,0;02/2001
Araruna;3,7;02/2001
Areia;19,7;02/2001
Areial;2,6;02/2001
Aroeiras;0,0;02/2001
Baía da Traição;0,0;02/2001
Bananeiras;15,6;02/2001
Barra de Santana;0,0;02/2001
Barra de Santa Rosa;0,0;02/2001
Barra de São Miguel;0,0;02/2001
Bayeux;0,0;02/2001
Belém;2,0;02/2001
Belém do Brejo do Cruz;36,0;02/2001
Boa Ventura;83,6;02/2001
Boa Vista;0,0;02/2001
Bom Jesus;71,1;02/2001
Bom Sucesso;2,7;02/2001
Bonito de Santa Fé;95,0;02/2001
Boqueirão;1,3;02/2001
Borborema;5,9;02/2001
Brejo do Cruz;22,0;02/2001
Brejo dos Santos;19,0;02/2001
Caaporã;36,4;02/2001
Cabaceiras;0,0;02/2001
Cabedelo;0,7;02/2001
Cachoeira dos Índios;159,9;02/2001
Cacimba de Areia;45,8;02/2001
Cacimba de Dentro;16,0;02/2001
Caiçara;0,0;02/2001
Cajazeiras;114,9;02/2001
Cajazeirinhas;47,3;02/2001
Caldas Brandão;6,5;02/2001
Camalaú;0,0;02/2001
Campina Grande;3,7;02/2001
Campo de Santana;0,0;02/2001
Caraúbas;0,0;02/2001
Carrapateira;201,6;02/2001
Casserengue;1,2;02/2001
Catingueira;99,1;02/2001
Catolé do Rocha;15,4;02/2001
Caturité;3,3;02/2001
Conceição;70,8;02/2001
Condado;68,6;02/2001
Conde;0,0;02/2001
Congo;0,0;02/2001
Coremas;38,6;02/2001
Coxixola;0,0;02/2001
Cruz do Espírito Santo;8,0;02/2001
Cubati;0,0;02/2001
Cuité;13,0;02/2001
Cuité de Mamanguape;0,0;02/2001
Cuitegi;2,1;02/2001
Curral de Cima;0,0;02/2001
Curral Velho;75,2;02/2001
Damião;2,1;02/2001
Desterro;35,2;02/2001
Diamante;86,0;02/2001
Dona Inês;6,8;02/2001
Duas Estradas;11,1;02/2001
Emas;65,8;02/2001
Esperança;5,3;02/2001
Fagundes;7,7;02/2001
Frei Martinho;0,0;02/2001
Gado Bravo;0,0;02/2001
Guarabira;19,5;02/2001
Gurinhém;4,8;02/2001
Gurjão;0,0;02/2001
Ibiara;45,0;02/2001
Igaracy;220,7;02/2001
Imaculada;17,8;02/2001
Ingá;1,0;02/2001
Itabaiana;0,0;02/2001
Itaporanga;162,4;02/2001
Itapororoca;5,6;02/2001
Itatuba;0,0;02/2001
Jacaraú;3,2;02/2001
Jericó;30,7;02/2001
João Pessoa;8,9;02/2001
Juarez Távora;4,6;02/2001
Juazeirinho;3,4;02/2001
Junco do Seridó;0,0;02/2001
Juripiranga;0,7;02/2001
Juru;138,1;02/2001
Lagoa;38,7;02/2001
Lagoa de Dentro;17,4;02/2001
Lagoa Seca;3,6;02/2001
Lastro;28,0;02/2001
Livramento;7,0;02/2001
Lucena;7,5;02/2001
Mãe D`Água;31,3;02/2001
Malta;46,0;02/2001
Mamanguape;11,3;02/2001
Manaíra;138,6;02/2001
Mari;3,8;02/2001
Marizópolis;2,1;02/2001
Massaranduba;0,0;02/2001
Mataraca;4,4;02/2001
Matinhas;5,4;02/2001
Mogeiro;0,0;02/2001
Montadas;47,9;02/2001
Monte Horebe;184,8;02/2001
Monteiro;32,2;02/2001
Mulungu;5,1;02/2001
Natuba;6,0;02/2001
Nazarezinho;100,6;02/2001
Nova Floresta;14,8;02/2001
Nova Olinda;72,1;02/2001
Nova Palmeira;0,0;02/2001
Olho D`Água;71,4;02/2001
Olivedos;2,0;02/2001
Ouro Velho;0,7;02/2001
Parari;0,0;02/2001
Passagem;0,0;02/2001
Patos;2,9;02/2001
Paulista;8,7;02/2001
Pedra Branca;59,2;02/2001
Pedra Lavrada;0,0;02/2001
Pedras de Fogo;11,6;02/2001
Piancó;64,3;02/2001
Picuí;3,0;02/2001
Pilar;4,0;02/2001
Pilões;9,8;02/2001
Pilõezinhos;9,6;02/2001
Pirpirituba;3,6;02/2001
Pitimbu;46,6;02/2001
Pocinhos;6,3;02/2001
Poço Dantas;60,0;02/2001
Pombal;4,0;02/2001
Prata;0,0;02/2001
Princesa Isabel;123,8;02/2001
Puxinanã;4,3;02/2001
Queimadas;18,2;02/2001
Quixaba;15,2;02/2001
Remígio;0,0;02/2001
Riachão do Bacamarte;0,8;02/2001
Riacho de Santo Antônio;6,2;02/2001
Riacho dos Cavalos;57,2;02/2001
Rio Tinto;13,6;02/2001
Salgadinho;0,0;02/2001
Salgado de São Félix;8,2;02/2001
Santa Cecília;0,0;02/2001
Santa Cruz;35,6;02/2001
Santa Helena;71,9;02/2001
Santa Luzia;6,1;02/2001
Santana de Mangueira;44,0;02/2001
Santana dos Garrotes;106,0;02/2001
Santa Rita;9,6;02/2001
Santa Teresinha;88,3;02/2001
