Município;Pluviometria observada (mm);Data
Água Branca;147,0;11/1995
Aguiar;24,1;11/1995
Alagoa Grande;57,6;11/1995
Alagoa Nova;46,5;11/1995
Alagoinha;79,6;11/1995
Algodão de Jandaíra;14,0;11/1995
Alhandra;70,7;11/1995
Aparecida;45,6;11/1995
Araçagi;31,5;11/1995
Araruna;21,8;11/1995
Areia;55,6;11/1995
Areial;1,8;11/1995
Aroeiras;2,5;11/1995
Baía da Traição;49,4;11/1995
Bananeiras;34,2;11/1995
Barra de Santana;0,0;11/1995
Barra de Santa Rosa;7,6;11/1995
Barra de São Miguel;16,6;11/1995
Belém;23,7;11/1995
Belém do Brejo do Cruz;33,6;11/1995
Boa Ventura;77,0;11/1995
Boa Vista;15,4;11/1995
Bom Jesus;49,4;11/1995
Bom Sucesso;0,0;11/1995
Bonito de Santa Fé;56,9;11/1995
Boqueirão;12,8;11/1995
Brejo do Cruz;38,6;11/1995
Brejo dos Santos;128,4;11/1995
Cabaceiras;12,0;11/1995
Cachoeira dos Índios;16,5;11/1995
Cacimba de Areia;38,1;11/1995
Cacimba de Dentro;0,0;11/1995
Caiçara;0,0;11/1995
Cajazeiras;22,8;11/1995
Caldas Brandão;19,3;11/1995
Camalaú;11,0;11/1995
Campina Grande;3,8;11/1995
Campo de Santana;0,0;11/1995
Caraúbas;10,2;11/1995
Carrapateira;18,8;11/1995
Casserengue;0,0;11/1995
Catingueira;119,6;11/1995
Catolé do Rocha;107,1;11/1995
Conceição;50,7;11/1995
Condado;114,8;11/1995
Congo;9,0;11/1995
Coremas;86,1;11/1995
Coxixola;79,0;11/1995
Cuité;4,5;11/1995
Curral Velho;117,4;11/1995
Desterro;20,5;11/1995
Diamante;66,5;11/1995
Dona Inês;5,6;11/1995
Emas;163,4;11/1995
Esperança;16,2;11/1995
Fagundes;28,0;11/1995
Gado Bravo;18,2;11/1995
Guarabira;30,9;11/1995
Gurinhém;9,8;11/1995
Gurjão;5,5;11/1995
Ibiara;35,3;11/1995
Igaracy;67,7;11/1995
Imaculada;145,4;11/1995
Ingá;19,2;11/1995
Itabaiana;2,5;11/1995
Itaporanga;52,5;11/1995
Itapororoca;22,0;11/1995
Itatuba;14,9;11/1995
Jacaraú;23,3;11/1995
Jericó;85,0;11/1995
João Pessoa;66,2;11/1995
Juarez Távora;15,9;11/1995
Juazeirinho;47,6;11/1995
Junco do Seridó;20,4;11/1995
Juripiranga;0,0;12/1995
Juru;37,2;11/1995
Lagoa;34,0;11/1995
Lagoa de Dentro;14,5;11/1995
Lagoa Seca;22,4;11/1995
Lastro;43,1;11/1995
Livramento;19,4;11/1995
Mãe D`Água;272,4;11/1995
Malta;88,9;11/1995
Mamanguape;33,2;11/1995
Manaíra;168,4;11/1995
Massaranduba;46,3;11/1995
Mogeiro;26,9;11/1995
Montadas;3,8;11/1995
Monte Horebe;96,4;11/1995
Monteiro;105,5;11/1995
Mulungu;42,5;11/1995
Natuba;6,4;12/1995
Nazarezinho;21,2;11/1995
Nova Olinda;67,0;11/1995
Nova Palmeira;37,5;11/1995
Olho D`Água;272,0;11/1995
Olivedos;0,2;11/1995
Ouro Velho;18,0;11/1995
Passagem;16,6;11/1995
Patos;54,4;11/1995
Paulista;72,2;11/1995
Pedra Branca;56,2;11/1995
Pedra Lavrada;0,0;11/1995
Pedras de Fogo;35,6;11/1995
Piancó;87,5;11/1995
Picuí;2,2;11/1995
Pilar;7,4;11/1995
Pilões;55,6;11/1995
Pocinhos;3,9;11/1995
Pombal;28,4;11/1995
Prata;49,2;11/1995
Princesa Isabel;87,8;11/1995
Puxinanã;7,6;11/1995
Queimadas;2,8;11/1995
Quixaba;1,4;11/1995
Remígio;26,4;11/1995
Riacho de Santo Antônio;4,4;11/1995
Riacho dos Cavalos;7,5;11/1995
Rio Tinto;46,4;11/1995
Salgadinho;38,2;11/1995
Salgado de São Félix;2,0;12/1995
Santa Cruz;54,6;11/1995
Santa Helena;28,6;11/1995
Santa Luzia;10,5;11/1995
Santana de Mangueira;77,8;11/1995
Santana dos Garrotes;37,0;11/1995
Santa Teresinha;78,2;11/1995
São Bento;24,4;11/1995
São Francisco;56,6;11/1995
São João do Cariri;73,0;11/1995
São João do Rio do Peixe;21,2;11/1995
São João do Tigre;48,2;11/1995
São José da Lagoa Tapada;78,3;11/1995
São José de Caiana;49,2;11/1995
São José de Espinharas;12,0;11/1995
São José de Piranhas;40,6;11/1995
São José do Bonfim;42,2;12/1995
São José do Sabugi;19,9;11/1995
São José dos Cordeiros;34,5;11/1995
São Mamede;0,0;11/1995
São Miguel de Taipu;34,0;11/1995
São Sebastião do Umbuzeiro;196,2;11/1995
São Vicente do Seridó;17,7;11/1995
Sapé;20,2;11/1995
Serra Branca;104,3;11/1995
Serra da Raiz;43,7;11/1995
Serra Grande;49,4;11/1995
Serraria;75,8;11/1995
Solânea;51,8;11/1995
Soledade;27,4;11/1995
Sossêgo;0,0;11/1995
Sousa;40,2;11/1995
Sumé;66,6;11/1995
Taperoá;28,8;11/1995
Tavares;5,0;11/1995
Teixeira;78,3;11/1995
Triunfo;7,7;11/1995
Uiraúna;62,0;11/1995
Umbuzeiro;17,4;11/1995
Várzea;0,0;11/1995
Vista Serrana;55,0;11/1995
