Município;Pluviometria observada (mm);Data
Água Branca;117,8;03/2023
Aguiar;343,3;03/2023
Alagoa Grande;129,3;03/2023
Alagoa Nova;85,1;03/2023
Alagoinha;150,4;03/2023
Alcantil;208,0;03/2023
Algodão de Jandaíra;171,8;03/2023
Alhandra;199,0;03/2023
Amparo;155,7;03/2023
Aparecida;211,7;03/2023
Araçagi;142,0;03/2023
Arara;151,9;03/2023
Araruna;270,2;03/2023
Areia;130,0;03/2023
Areia de Baraúnas;295,5;03/2023
Areial;81,3;03/2023
Aroeiras;98,4;03/2023
Assunção;163,5;03/2023
Baía da Traição;233,8;03/2023
Bananeiras;187,8;03/2023
Baraúna;160,5;03/2023
Barra de Santana;84,1;03/2023
Barra de Santa Rosa;155,2;03/2023
Barra de São Miguel;124,1;03/2023
Bayeux;89,6;03/2023
Belém;141,2;03/2023
Belém do Brejo do Cruz;211,5;03/2023
Bernardino Batista;156,5;03/2023
Boa Ventura;245,1;03/2023
Boa Vista;48,8;03/2023
Bom Jesus;282,1;03/2023
Bom Sucesso;445,1;03/2023
Bonito de Santa Fé;300,8;03/2023
Boqueirão;87,8;03/2023
Borborema;211,3;03/2023
Brejo do Cruz;338,7;03/2023
Brejo dos Santos;335,5;03/2023
Caaporã;163,2;03/2023
Cabaceiras;79,7;03/2023
Cabedelo;149,3;03/2023
Cachoeira dos Índios;390,9;03/2023
Cacimba de Areia;219,8;03/2023
Cacimba de Dentro;139,9;03/2023
Cacimbas;159,7;03/2023
Caiçara;136,6;03/2023
Cajazeiras;330,6;03/2023
Cajazeirinhas;234,8;03/2023
Caldas Brandão;115,6;03/2023
Camalaú;143,1;03/2023
Campina Grande;73,8;03/2023
Capim;181,4;03/2023
Caraúbas;154,3;03/2023
Carrapateira;249,7;03/2023
Casserengue;118,8;03/2023
Catingueira;365,7;03/2023
Catolé do Rocha;372,5;03/2023
Caturité;52,5;03/2023
Conceição;426,5;03/2023
Condado;205,0;03/2023
Conde;188,9;03/2023
Congo;190,8;03/2023
Coremas;242,6;03/2023
Coxixola;136,3;03/2023
Cruz do Espírito Santo;142,6;03/2023
Cubati;184,4;03/2023
Cuité;274,2;03/2023
Cuité de Mamanguape;152,9;03/2023
Cuitegi;109,5;03/2023
Curral de Cima;128,9;03/2023
Curral Velho;297,8;03/2023
Damião;147,3;03/2023
Desterro;282,3;03/2023
Diamante;290,3;03/2023
Dona Inês;150,0;03/2023
Duas Estradas;157,3;03/2023
Emas;266,0;03/2023
Esperança;85,7;03/2023
Fagundes;221,1;03/2023
Frei Martinho;223,3;03/2023
Gado Bravo;50,9;03/2023
Guarabira;182,2;03/2023
Gurinhém;74,6;03/2023
Gurjão;129,0;03/2023
Ibiara;283,3;03/2023
