Município;Pluviometria observada (mm);Data
Água Branca;31,3;12/1995
Aguiar;168,2;12/1995
Alagoa Grande;12,6;12/1995
Alagoa Nova;18,9;12/1995
Alagoinha;19,6;12/1995
Algodão de Jandaíra;0,0;12/1995
Alhandra;33,0;12/1995
Aparecida;146,2;12/1995
Araçagi;31,5;12/1995
Arara;0,0;01/1996
Araruna;10,6;12/1995
Areia;20,9;12/1995
Areial;13,6;12/1995
Aroeiras;7,3;12/1995
Baía da Traição;7,6;12/1995
Bananeiras;55,6;12/1995
Barra de Santana;5,6;12/1995
Barra de Santa Rosa;9,9;12/1995
Barra de São Miguel;7,2;12/1995
Belém;7,2;12/1995
Belém do Brejo do Cruz;58,4;12/1995
Boa Ventura;35,2;12/1995
Boa Vista;0,0;12/1995
Bom Jesus;253,2;12/1995
Bom Sucesso;71,0;12/1995
Bonito de Santa Fé;58,4;12/1995
Boqueirão;2,4;12/1995
Brejo do Cruz;155,4;12/1995
Brejo dos Santos;111,4;12/1995
Cabaceiras;4,1;12/1995
Cachoeira dos Índios;234,0;12/1995
Cacimba de Areia;58,9;12/1995
Cacimba de Dentro;7,0;12/1995
Caiçara;2,0;12/1995
Cajazeiras;283,7;12/1995
Caldas Brandão;3,8;12/1995
Camalaú;15,4;12/1995
Campina Grande;4,3;12/1995
Campo de Santana;0,0;12/1995
Caraúbas;49,0;12/1995
Carrapateira;158,7;12/1995
Casserengue;0,0;12/1995
Catingueira;78,5;12/1995
Catolé do Rocha;89,9;12/1995
Conceição;154,0;12/1995
Condado;116,4;12/1995
Congo;74,6;12/1995
Coremas;109,5;12/1995
Coxixola;36,0;12/1995
Cruz do Espírito Santo;27,9;01/1996
Cubati;20,7;01/1996
Cuité;23,1;12/1995
Curral Velho;151,8;12/1995
Desterro;27,0;12/1995
Diamante;67,2;12/1995
Dona Inês;8,4;12/1995
Emas;36,2;12/1995
Esperança;3,0;12/1995
Fagundes;24,5;12/1995
Frei Martinho;53,3;01/1996
Gado Bravo;7,1;12/1995
Guarabira;20,2;12/1995
Gurinhém;8,2;12/1995
Gurjão;7,0;12/1995
Ibiara;117,8;12/1995
Igaracy;98,1;12/1995
Imaculada;41,4;12/1995
Ingá;15,0;12/1995
Itabaiana;22,4;12/1995
Itaporanga;65,5;12/1995
Itapororoca;24,0;12/1995
Itatuba;9,2;12/1995
Jacaraú;7,2;12/1995
Jericó;28,0;12/1995
João Pessoa;91,6;12/1995
Juarez Távora;6,8;12/1995
Juazeirinho;25,6;12/1995
Junco do Seridó;15,8;12/1995
Juripiranga;46,1;12/1995
Juru;129,8;12/1995
Lagoa;59,4;12/1995
Lagoa de Dentro;8,0;12/1995
Lagoa Seca;7,0;12/1995
Lastro;39,2;12/1995
Livramento;16,4;12/1995
Mãe D`Água;136,9;12/1995
Malta;67,1;12/1995
Mamanguape;64,7;12/1995
Manaíra;123,4;12/1995
Massaranduba;28,8;12/1995
Mogeiro;16,2;12/1995
Montadas;0,6;12/1995
Monte Horebe;189,8;12/1995
Monteiro;34,9;12/1995
Mulungu;3,6;12/1995
Natuba;23,6;12/1995
Nazarezinho;182,8;12/1995
Nova Floresta;76,0;01/1996
Nova Olinda;83,6;12/1995
Nova Palmeira;51,7;12/1995
Olho D`Água;129,8;12/1995
Olivedos;30,6;12/1995
Ouro Velho;17,2;12/1995
Passagem;41,6;12/1995
Patos;88,5;12/1995
Paulista;122,2;12/1995
Pedra Branca;97,5;12/1995
Pedra Lavrada;19,0;12/1995
Pedras de Fogo;59,1;12/1995
Piancó;56,7;12/1995
Picuí;48,1;12/1995
Pilar;10,5;12/1995
Pilões;25,4;12/1995
Pocinhos;8,1;12/1995
Pombal;87,9;12/1995
Prata;10,6;12/1995
Princesa Isabel;80,1;12/1995
Puxinanã;0,0;12/1995
Queimadas;11,0;12/1995
Quixaba;43,5;12/1995
Remígio;7,8;12/1995
Riacho de Santo Antônio;5,0;12/1995
Riacho dos Cavalos;267,4;12/1995
Rio Tinto;61,2;12/1995
Salgadinho;16,0;12/1995
Salgado de São Félix;18,4;12/1995
Santa Cruz;77,8;12/1995
Santa Helena;147,2;12/1995
Santa Luzia;15,4;12/1995
Santana de Mangueira;211,4;12/1995
Santana dos Garrotes;41,5;12/1995
Santa Teresinha;109,8;12/1995
São Bento;155,0;12/1995
São Francisco;95,9;12/1995
São João do Cariri;99,6;12/1995
São João do Rio do Peixe;170,1;12/1995
São João do Tigre;28,1;12/1995
São José da Lagoa Tapada;222,1;12/1995
São José de Caiana;89,6;12/1995
São José de Espinharas;28,2;12/1995
São José de Piranhas;243,3;12/1995
São José do Bonfim;89,4;12/1995
São José do Sabugi;11,1;12/1995
São José dos Cordeiros;10,4;12/1995
São Mamede;11,1;12/1995
São Miguel de Taipu;10,6;12/1995
São Sebastião de Lagoa de Roça;5,9;01/1996
São Sebastião do Umbuzeiro;5,4;12/1995
São Vicente do Seridó;26,2;12/1995
Sapé;10,0;12/1995
Serra Branca;45,8;12/1995
Serra da Raiz;18,9;12/1995
Serra Grande;54,6;12/1995
Serra Redonda;13,4;01/1996
Serraria;72,6;12/1995
Solânea;54,6;12/1995
Soledade;25,2;12/1995
Sossêgo;33,0;12/1995
Sousa;160,9;12/1995
Sumé;10,4;12/1995
Taperoá;14,4;12/1995
Tavares;98,0;12/1995
Teixeira;48,5;12/1995
Triunfo;177,6;12/1995
Uiraúna;143,0;12/1995
Umbuzeiro;18,1;12/1995
Várzea;19,4;12/1995
Vista Serrana;31,7;12/1995
