Município;Pluviometria observada (mm);Data
Água Branca;72,8;05/2000
Aguiar;59,5;05/2000
Alagoa Grande;109,2;05/2000
Alagoa Nova;102,7;05/2000
Alagoinha;105,8;05/2000
Alcantil;43,4;05/2000
Algodão de Jandaíra;24,8;05/2000
Alhandra;387,6;05/2000
Amparo;25,5;05/2000
Aparecida;43,6;05/2000
Araçagi;69,6;05/2000
Arara;68,5;05/2000
Araruna;96,4;05/2000
Areia;120,5;05/2000
Areial;49,4;05/2000
Aroeiras;35,8;05/2000
Baía da Traição;210,7;05/2000
Bananeiras;166,4;05/2000
Barra de Santana;51,3;05/2000
Barra de Santa Rosa;36,5;05/2000
Barra de São Miguel;41,7;05/2000
Bayeux;352,9;05/2000
Belém;111,3;05/2000
Belém do Brejo do Cruz;0,0;05/2000
Boa Ventura;27,4;05/2000
Boa Vista;74,3;05/2000
Bom Jesus;96,7;05/2000
Bom Sucesso;68,7;05/2000
Bonito de Santa Fé;39,0;05/2000
Boqueirão;45,3;05/2000
Borborema;153,8;05/2000
Brejo do Cruz;21,4;05/2000
Brejo dos Santos;158,0;05/2000
Caaporã;347,0;05/2000
Cabaceiras;37,7;05/2000
Cabedelo;298,1;05/2000
Cachoeira dos Índios;34,3;05/2000
Cacimba de Areia;31,7;05/2000
Cacimba de Dentro;92,6;05/2000
Caiçara;116,7;05/2000
Cajazeiras;58,8;05/2000
Cajazeirinhas;29,5;05/2000
Caldas Brandão;129,6;05/2000
Camalaú;23,0;05/2000
Campina Grande;78,4;05/2000
Campo de Santana;84,0;05/2000
Capim;106,9;05/2000
Caraúbas;10,6;05/2000
Carrapateira;62,8;05/2000
Casserengue;32,8;05/2000
Catingueira;23,3;05/2000
Catolé do Rocha;75,3;05/2000
Caturité;66,3;05/2000
Conceição;40,5;05/2000
Condado;26,1;05/2000
Conde;349,4;05/2000
Congo;0,0;05/2000
Coremas;19,0;05/2000
Coxixola;15,0;05/2000
Cruz do Espírito Santo;195,4;05/2000
Cubati;23,2;05/2000
Cuité;31,4;05/2000
Cuité de Mamanguape;56,8;05/2000
Cuitegi;162,9;05/2000
Curral de Cima;49,7;05/2000
Curral Velho;20,5;05/2000
Damião;58,7;05/2000
Desterro;8,3;05/2000
Diamante;31,0;05/2000
Dona Inês;100,9;05/2000
Duas Estradas;71,1;05/2000
Emas;43,0;05/2000
Esperança;52,8;05/2000
Fagundes;85,6;05/2000
Frei Martinho;24,9;05/2000
Gado Bravo;57,1;05/2000
Guarabira;145,2;05/2000
Gurinhém;74,0;05/2000
Gurjão;33,8;05/2000
Ibiara;29,2;05/2000
Igaracy;114,4;05/2000
Imaculada;36,7;05/2000
Ingá;55,6;05/2000
Itabaiana;52,2;05/2000
Itaporanga;24,5;05/2000
Itapororoca;78,5;05/2000
Itatuba;65,2;05/2000
Jacaraú;80,6;05/2000
Jericó;55,0;05/2000
João Pessoa;359,0;05/2000
Juarez Távora;95,0;05/2000
Juazeirinho;26,6;05/2000
Junco do Seridó;23,1;05/2000
Juripiranga;86,5;05/2000
Juru;73,4;05/2000
Lagoa;19,0;05/2000
Lagoa de Dentro;40,3;05/2000
Lagoa Seca;97,3;05/2000
Lastro;39,5;05/2000
Livramento;22,1;05/2000
Lucena;285,3;05/2000
Mãe D`Água;66,3;05/2000
Malta;16,9;05/2000
Mamanguape;128,6;05/2000
Manaíra;42,6;05/2000
Mari;99,3;05/2000
Massaranduba;130,0;05/2000
Mataraca;190,8;05/2000
Matinhas;71,1;05/2000
Mogeiro;53,0;05/2000
Montadas;56,9;05/2000
Monte Horebe;19,0;05/2000
Monteiro;25,9;05/2000
Mulungu;128,0;05/2000
Natuba;85,4;05/2000
Nazarezinho;68,3;05/2000
Nova Floresta;37,2;05/2000
Nova Olinda;32,6;05/2000
Nova Palmeira;25,1;05/2000
Olho D`Água;54,3;05/2000
Olivedos;18,0;05/2000
Ouro Velho;59,8;05/2000
Parari;0,0;05/2000
Passagem;12,6;05/2000
Patos;40,3;05/2000
Paulista;30,2;05/2000
Pedra Branca;16,6;05/2000
Pedra Lavrada;25,8;05/2000
Pedras de Fogo;183,2;05/2000
Piancó;27,0;05/2000
Picuí;16,7;05/2000
Pilar;83,5;05/2000
Pilões;168,4;05/2000
Pilõezinhos;197,8;05/2000
Pirpirituba;105,5;05/2000
Pitimbu;461,9;05/2000
Pocinhos;27,0;05/2000
Pombal;53,4;05/2000
Prata;75,1;05/2000
Princesa Isabel;21,4;05/2000
Puxinanã;42,8;05/2000
Queimadas;81,9;05/2000
Quixaba;0,0;05/2000
Remígio;92,0;05/2000
Riachão do Bacamarte;81,8;05/2000
Riacho de Santo Antônio;22,6;05/2000
Riacho dos Cavalos;106,8;05/2000
Rio Tinto;194,7;05/2000
Salgadinho;5,8;05/2000
Salgado de São Félix;75,3;05/2000
Santa Cecília;67,5;05/2000
Santa Cruz;28,9;05/2000
Santa Helena;82,6;05/2000
Santa Luzia;8,4;05/2000
Santana de Mangueira;24,5;05/2000
Santana dos Garrotes;25,0;05/2000
Santa Rita;282,1;05/2000
Santa Teresinha;20,3;05/2000
São Bento;33,0;05/2000
São Domingos do Cariri;26,0;05/2000
São Francisco;39,1;05/2000
São João do Cariri;50,8;05/2000
São João do Rio do Peixe;42,8;05/2000
São João do Tigre;58,5;05/2000
São José da Lagoa Tapada;44,5;05/2000
São José de Caiana;40,9;05/2000
São José de Espinharas;0,0;05/2000
São José de Piranhas;19,2;05/2000
São José do Bonfim;11,2;05/2000
São José do Brejo do Cruz;33,7;05/2000
São José do Sabugi;22,4;05/2000
São José dos Cordeiros;25,8;05/2000
São José dos Ramos;50,8;05/2000
São Mamede;0,0;05/2000
São Miguel de Taipu;57,0;05/2000
São Sebastião de Lagoa de Roça;59,4;05/2000
São Sebastião do Umbuzeiro;25,3;05/2000
São Vicente do Seridó;12,8;05/2000
Sapé;122,7;05/2000
Serra Branca;28,7;05/2000
Serra da Raiz;144,5;05/2000
Serra Grande;8,2;05/2000
Serra Redonda;99,4;05/2000
Serraria;139,4;05/2000
Solânea;136,2;05/2000
Soledade;37,4;05/2000
Sossêgo;19,4;05/2000
Sousa;59,9;05/2000
Sumé;29,5;05/2000
Taperoá;11,0;05/2000
Tavares;41,5;05/2000
Teixeira;13,0;05/2000
Tenório;23,5;05/2000
Triunfo;57,8;05/2000
Uiraúna;28,5;05/2000
Umbuzeiro;63,8;05/2000
Várzea;0,0;05/2000
Vista Serrana;41,6;05/2000
