Município;Pluviometria observada (mm);Data
Água Branca;4,0;04/2012
Aguiar;71,3;04/2012
Alagoa Grande;0,0;04/2012
Alagoa Nova;50,0;04/2012
Alagoinha;2,2;04/2012
Alcantil;2,6;04/2012
Algodão de Jandaíra;0,0;04/2012
Alhandra;38,1;04/2012
Amparo;11,0;04/2012
Aparecida;106,2;04/2012
Araçagi;13,7;04/2012
Arara;3,1;04/2012
Araruna;3,3;04/2012
Areia;32,1;04/2012
Areial;0,0;04/2012
Aroeiras;0,0;04/2012
Assunção;0,0;04/2012
Baía da Traição;82,0;04/2012
Bananeiras;19,0;04/2012
Baraúna;0,0;04/2012
Barra de Santana;0,0;04/2012
Barra de Santa Rosa;0,0;04/2012
Barra de São Miguel;0,0;04/2012
Bayeux;24,5;04/2012
Belém;0,0;04/2012
Belém do Brejo do Cruz;4,1;04/2012
Bernardino Batista;12,1;04/2012
Boa Ventura;39,7;04/2012
Boa Vista;0,0;04/2012
Bom Jesus;86,2;04/2012
Bom Sucesso;67,9;04/2012
Bonito de Santa Fé;36,0;04/2012
Boqueirão;0,0;04/2012
Borborema;16,1;04/2012
Brejo do Cruz;16,6;04/2012
Brejo dos Santos;37,5;04/2012
Caaporã;38,0;04/2012
Cabaceiras;1,7;04/2012
Cabedelo;49,7;04/2012
Cachoeira dos Índios;77,3;04/2012
Cacimba de Areia;0,0;04/2012
Cacimba de Dentro;0,0;04/2012
Cacimbas;0,0;04/2012
Caiçara;13,9;04/2012
Cajazeiras;109,1;04/2012
Cajazeirinhas;100,4;04/2012
Caldas Brandão;10,2;04/2012
Camalaú;0,0;04/2012
Campina Grande;2,4;04/2012
Capim;20,5;04/2012
Caraúbas;6,0;04/2012
Carrapateira;39,5;04/2012
Casserengue;0,0;04/2012
Catingueira;25,5;04/2012
Catolé do Rocha;48,6;04/2012
Caturité;1,5;04/2012
Conceição;41,7;04/2012
Condado;50,5;04/2012
Congo;0,0;04/2012
Coremas;73,0;04/2012
Coxixola;0,0;04/2012
Cruz do Espírito Santo;7,9;04/2012
Cubati;0,0;04/2012
Cuité;0,0;04/2012
Cuité de Mamanguape;18,3;04/2012
Cuitegi;7,8;04/2012
Curral de Cima;27,5;04/2012
Curral Velho;41,8;04/2012
Damião;2,0;04/2012
Desterro;7,0;04/2012
Diamante;52,5;04/2012
Dona Inês;15,6;04/2012
Duas Estradas;22,0;04/2012
Emas;64,6;04/2012
Esperança;12,7;04/2012
Fagundes;8,3;04/2012
Frei Martinho;0,0;04/2012
Gado Bravo;0,0;04/2012
Guarabira;0,0;04/2012
Gurinhém;8,9;04/2012
Gurjão;0,0;04/2012
Ibiara;23,8;04/2012
Igaracy;90,7;04/2012
Imaculada;14,7;04/2012
Ingá;1,4;04/2012
Itabaiana;9,3;04/2012
Itaporanga;23,3;04/2012
Itapororoca;4,8;04/2012
Itatuba;14,0;04/2012
Jacaraú;26,8;04/2012
Jericó;86,8;04/2012
João Pessoa;31,7;04/2012
Joca Claudino;14,0;04/2012
Juarez Távora;0,0;04/2012
Juazeirinho;0,0;04/2012
Junco do Seridó;0,0;04/2012
Juripiranga;14,8;04/2012
Juru;6,2;04/2012
