Município;Pluviometria observada (mm);Data
Água Branca;13,6;03/2012
Aguiar;104,8;03/2012
Alagoa Grande;1,8;03/2012
Alagoa Nova;87,8;03/2012
Alagoinha;10,4;03/2012
Alcantil;0,0;03/2012
Algodão de Jandaíra;2,4;03/2012
Alhandra;59,6;03/2012
Amparo;0,0;03/2012
Aparecida;42,5;03/2012
Araçagi;11,7;03/2012
Arara;16,6;03/2012
Araruna;13,6;03/2012
Areia;34,5;03/2012
Areial;1,1;03/2012
Aroeiras;3,7;03/2012
Assunção;0,0;03/2012
Baía da Traição;115,6;03/2012
Bananeiras;5,4;03/2012
Baraúna;2,5;03/2012
Barra de Santana;3,1;03/2012
Barra de Santa Rosa;0,0;03/2012
Barra de São Miguel;0,0;03/2012
Bayeux;43,1;03/2012
Belém;4,0;03/2012
Belém do Brejo do Cruz;136,5;03/2012
Bernardino Batista;70,5;03/2012
Boa Ventura;60,6;03/2012
Boa Vista;0,0;03/2012
Bom Jesus;167,2;03/2012
Bom Sucesso;104,0;03/2012
Bonito de Santa Fé;175,0;03/2012
Boqueirão;0,0;03/2012
Borborema;8,3;03/2012
Brejo do Cruz;130,7;03/2012
Brejo dos Santos;69,7;03/2012
Caaporã;68,0;03/2012
Cabaceiras;34,0;03/2012
Cabedelo;58,7;03/2012
Cachoeira dos Índios;142,4;03/2012
Cacimba de Areia;18,2;03/2012
Cacimba de Dentro;11,9;03/2012
Cacimbas;22,4;03/2012
Caiçara;9,7;03/2012
Cajazeiras;163,5;03/2012
Cajazeirinhas;37,3;03/2012
Caldas Brandão;6,8;03/2012
Camalaú;23,1;03/2012
Campina Grande;7,9;03/2012
Capim;18,0;03/2012
Caraúbas;0,0;03/2012
Carrapateira;189,8;03/2012
Casserengue;3,6;03/2012
Catingueira;61,7;03/2012
Catolé do Rocha;141,0;03/2012
Caturité;1,4;03/2012
Conceição;103,7;03/2012
Condado;45,3;03/2012
Congo;17,3;03/2012
Coremas;8,7;03/2012
Coxixola;0,0;03/2012
Cruz do Espírito Santo;22,3;03/2012
Cubati;8,0;03/2012
Cuité;16,8;03/2012
Cuité de Mamanguape;19,3;03/2012
Cuitegi;0,2;03/2012
Curral de Cima;26,4;03/2012
Curral Velho;50,3;03/2012
Damião;6,0;03/2012
Desterro;10,2;03/2012
Diamante;44,5;03/2012
Dona Inês;9,3;03/2012
Duas Estradas;10,1;03/2012
Emas;61,3;03/2012
Esperança;13,3;03/2012
Fagundes;18,2;03/2012
Frei Martinho;0,0;03/2012
Gado Bravo;11,5;03/2012
Guarabira;12,3;03/2012
Gurinhém;12,0;03/2012
Gurjão;0,0;03/2012
Ibiara;47,7;03/2012
Igaracy;81,3;03/2012
Imaculada;4,0;03/2012
Ingá;42,0;03/2012
Itabaiana;2,5;03/2012
Itaporanga;65,8;03/2012
Itapororoca;23,8;03/2012
Itatuba;17,6;03/2012
Jacaraú;24,7;03/2012
Jericó;93,7;03/2012
João Pessoa;63,3;03/2012
Joca Claudino;75,9;03/2012
Juarez Távora;0,0;03/2012
Juazeirinho;0,0;03/2012
Junco do Seridó;3,9;03/2012
Juripiranga;5,7;03/2012
Juru;41,4;03/2012
Lagoa;145,5;03/2012
Lagoa de Dentro;15,4;03/2012
Lagoa Seca;5,3;03/2012
Lastro;108,0;03/2012
Livramento;0,0;03/2012
Logradouro;4,3;03/2012
Mãe d'Água;15,2;03/2012
Malta;78,0;03/2012
Mamanguape;54,0;03/2012
Manaíra;99,4;03/2012
Marcação;61,7;03/2012
Mari;8,7;03/2012
Marizópolis;26,8;03/2012
Massaranduba;0,0;03/2012
Mataraca;125,2;03/2012
Matinhas;51,4;03/2012
Mato Grosso;115,2;03/2012
Mogeiro;1,3;03/2012
Montadas;3,4;03/2012
Monte Horebe;151,0;03/2012
Monteiro;0,0;03/2012
Mulungu;7,5;03/2012
Natuba;22,7;03/2012
Nazarezinho;92,8;03/2012
Nova Floresta;27,7;03/2012
Nova Olinda;92,7;03/2012
Nova Palmeira;0,0;03/2012
Olho d'Água;51,6;03/2012
Olivedos;2,1;03/2012
Ouro Velho;0,0;03/2012
Parari;0,0;03/2012
Passagem;34,5;03/2012
Patos;32,1;03/2012
Paulista;112,0;03/2012
Pedra Branca;80,6;03/2012
Pedra Lavrada;0,0;03/2012
Pedras de Fogo;23,0;03/2012
Piancó;40,7;03/2012
Picuí;9,0;03/2012
Pilar;11,2;03/2012
Pilões;17,1;03/2012
Pilõezinhos;13,7;03/2012
Pirpirituba;12,8;03/2012
Pitimbu;40,1;03/2012
Pocinhos;3,7;03/2012
Poço Dantas;45,1;03/2012
Poço de José de Moura;48,2;03/2012
Pombal;51,7;03/2012
Prata;2,6;03/2012
Princesa Isabel;17,8;03/2012
Puxinanã;11,5;03/2012
Queimadas;5,3;03/2012
Quixaba;0,0;03/2012
Remígio;16,7;03/2012
Riachão;8,0;03/2012
Riachão do Bacamarte;4,3;03/2012
Riacho de Santo Antônio;0,0;03/2012
Riacho dos Cavalos;62,3;03/2012
Rio Tinto;33,2;03/2012
Salgadinho;0,0;03/2012
Salgado de São Félix;17,8;03/2012
Santa Cecília;0,0;03/2012
Santa Cruz;104,3;03/2012
Santa Helena;121,1;03/2012
Santa Inês;68,6;03/2012
Santa Luzia;7,3;03/2012
Santana de Mangueira;98,4;03/2012
Santana dos Garrotes;60,2;03/2012
Santa Rita;35,8;03/2012
Santa Teresinha;22,8;03/2012
Santo André;0,0;03/2012
São Bentinho;36,4;03/2012
São Bento;143,0;03/2012
São Domingos;31,7;03/2012
São Domingos do Cariri;0,0;03/2012
São Francisco;154,4;03/2012
São João do Cariri;1,5;03/2012
São João do Rio do Peixe;72,3;03/2012
São João do Tigre;8,5;03/2012
São José da Lagoa Tapada;59,8;03/2012
São José de Caiana;133,8;03/2012
São José de Espinharas;53,5;03/2012
São José de Piranhas;237,8;03/2012
São José de Princesa;53,8;03/2012
São José do Bonfim;4,0;03/2012
São José do Brejo do Cruz;99,0;03/2012
São José do Sabugi;11,5;03/2012
São José dos Cordeiros;0,0;03/2012
São José dos Ramos;1,3;03/2012
São Mamede;50,3;03/2012
São Miguel de Taipu;14,5;03/2012
São Sebastião de Lagoa de Roça;6,3;03/2012
São Sebastião do Umbuzeiro;8,2;03/2012
