Município;Pluviometria observada (mm);Data
Água Branca;60,2;06/2015
Aguiar;13,2;06/2015
Alagoa Grande;94,9;06/2015
Alagoa Nova;98,8;06/2015
Alagoinha;136,0;06/2015
Alcantil;70,2;06/2015
Algodão de Jandaíra;21,3;06/2015
Alhandra;308,9;06/2015
Amparo;15,9;06/2015
Aparecida;27,8;06/2015
Araçagi;154,6;06/2015
Arara;61,9;06/2015
Araruna;109,4;06/2015
Areia;164,0;06/2015
Areia de Baraúnas;0,0;06/2015
Areial;57,6;06/2015
Aroeiras;120,1;06/2015
Assunção;0,0;06/2015
Baía da Traição;237,9;06/2015
Bananeiras;201,6;06/2015
Baraúna;23,5;06/2015
Barra de Santana;32,3;06/2015
Barra de Santa Rosa;26,8;06/2015
Barra de São Miguel;19,7;06/2015
Bayeux;287,8;06/2015
Belém;127,0;06/2015
Belém do Brejo do Cruz;10,6;06/2015
Bernardino Batista;83,3;06/2015
Boa Ventura;41,4;06/2015
Boa Vista;21,1;06/2015
Bom Jesus;26,1;06/2015
Bom Sucesso;31,5;06/2015
Bonito de Santa Fé;45,5;06/2015
Boqueirão;34,5;06/2015
Borborema;190,3;06/2015
Brejo do Cruz;18,3;06/2015
Brejo dos Santos;26,6;06/2015
Caaporã;296,8;06/2015
Cabaceiras;31,4;06/2015
Cabedelo;286,5;06/2015
Cachoeira dos Índios;30,0;06/2015
Cacimba de Areia;0,0;06/2015
Cacimba de Dentro;119,6;06/2015
Cacimbas;0,0;06/2015
Caiçara;135,6;06/2015
Cajazeiras;51,1;06/2015
Cajazeirinhas;5,6;06/2015
Caldas Brandão;140,1;06/2015
Camalaú;14,5;06/2015
Campina Grande;87,7;06/2015
Capim;308,6;06/2015
Caraúbas;11,4;06/2015
Carrapateira;15,0;06/2015
Casserengue;36,2;06/2015
Catingueira;13,0;06/2015
Catolé do Rocha;30,3;06/2015
Caturité;39,2;06/2015
Conceição;52,2;06/2015
Condado;7,0;06/2015
Conde;351,5;06/2015
Congo;18,4;06/2015
Coremas;19,0;06/2015
Coxixola;16,9;06/2015
Cruz do Espírito Santo;226,1;06/2015
Cubati;12,0;06/2015
Cuité;40,4;06/2015
Cuité de Mamanguape;286,0;06/2015
Cuitegi;206,8;06/2015
Curral Velho;0,0;06/2015
Damião;75,5;06/2015
Desterro;20,2;06/2015
Diamante;36,7;06/2015
Dona Inês;93,1;06/2015
Duas Estradas;200,5;06/2015
Emas;14,1;06/2015
Esperança;77,7;06/2015
Fagundes;124,4;06/2015
Frei Martinho;5,2;06/2015
Gado Bravo;53,4;06/2015
Guarabira;163,5;06/2015
Gurinhém;116,0;06/2015
Gurjão;16,1;06/2015
Ibiara;41,3;06/2015
