Município;Pluviometria observada (mm);Data
Água Branca;13,0;11/2015
Aguiar;0,0;11/2015
Alagoa Grande;57,8;11/2015
Alagoa Nova;59,8;11/2015
Alagoinha;50,3;11/2015
Alcantil;37,6;11/2015
Algodão de Jandaíra;26,8;11/2015
Alhandra;137,8;11/2015
Amparo;50,2;11/2015
Aparecida;1,9;11/2015
Araçagi;56,4;11/2015
Arara;44,5;11/2015
Araruna;65,5;11/2015
Areia;96,8;11/2015
Areia de Baraúnas;23,3;11/2015
Areial;47,7;11/2015
Aroeiras;23,2;11/2015
Assunção;32,0;11/2015
Baía da Traição;171,7;11/2015
Bananeiras;59,8;11/2015
Baraúna;15,5;11/2015
Barra de Santana;62,0;11/2015
Barra de Santa Rosa;31,2;11/2015
Barra de São Miguel;29,8;11/2015
Bayeux;94,1;11/2015
Belém;136,4;11/2015
Belém do Brejo do Cruz;31,1;11/2015
Bernardino Batista;0,0;11/2015
Boa Ventura;21,4;11/2015
Boa Vista;12,8;11/2015
Bom Jesus;0,0;11/2015
Bom Sucesso;0,0;11/2015
Bonito de Santa Fé;30,2;11/2015
Boqueirão;40,1;11/2015
Borborema;81,5;11/2015
Brejo do Cruz;61,6;11/2015
Brejo dos Santos;11,6;11/2015
Caaporã;145,3;11/2015
Cabaceiras;33,5;11/2015
Cabedelo;113,4;11/2015
Cachoeira dos Índios;22,5;11/2015
Cacimba de Areia;40,0;11/2015
Cacimba de Dentro;68,8;11/2015
Cacimbas;0,0;11/2015
Caiçara;59,0;11/2015
Cajazeiras;16,2;11/2015
Cajazeirinhas;13,5;11/2015
Caldas Brandão;60,9;11/2015
Camalaú;25,0;11/2015
Campina Grande;33,7;11/2015
Capim;89,3;11/2015
Caraúbas;47,5;11/2015
Carrapateira;10,0;11/2015
Casserengue;26,5;11/2015
Catingueira;39,0;11/2015
Catolé do Rocha;26,1;11/2015
Caturité;33,6;11/2015
Conceição;11,1;11/2015
Condado;17,0;11/2015
Congo;34,7;11/2015
Coremas;24,9;11/2015
Coxixola;75,1;11/2015
Cruz do Espírito Santo;103,6;11/2015
Cubati;38,3;11/2015
Cuité;92,2;11/2015
Cuité de Mamanguape;72,9;11/2015
Cuitegi;81,2;11/2015
Curral Velho;35,5;11/2015
Damião;49,1;11/2015
Desterro;32,0;11/2015
Diamante;0,0;11/2015
Dona Inês;43,1;11/2015
Duas Estradas;93,3;11/2015
Emas;30,5;11/2015
Esperança;53,9;11/2015
