Município;Pluviometria observada (mm);Data
Água Branca;44,8;02/2015
Aguiar;58,0;02/2015
Alagoa Grande;38,1;02/2015
Alagoa Nova;37,2;02/2015
Alagoinha;38,5;02/2015
Alcantil;22,4;02/2015
Algodão de Jandaíra;1,8;02/2015
Alhandra;76,7;02/2015
Amparo;12,1;02/2015
Aparecida;100,7;02/2015
Araçagi;26,5;02/2015
Arara;22,5;02/2015
Araruna;28,1;02/2015
Areia;65,0;02/2015
Areia de Baraúnas;87,7;02/2015
Areial;21,4;02/2015
Aroeiras;21,0;02/2015
Assunção;21,1;02/2015
Baía da Traição;57,3;02/2015
Bananeiras;66,6;02/2015
Baraúna;10,0;02/2015
Barra de Santana;0,0;02/2015
Barra de Santa Rosa;8,4;02/2015
Barra de São Miguel;11,7;02/2015
Bayeux;49,3;02/2015
Belém;9,8;02/2015
Belém do Brejo do Cruz;82,5;02/2015
Bernardino Batista;47,2;02/2015
Boa Ventura;36,2;02/2015
Boa Vista;5,8;02/2015
Bom Jesus;29,0;02/2015
Bom Sucesso;101,1;02/2015
Bonito de Santa Fé;73,7;02/2015
Boqueirão;4,1;02/2015
Borborema;61,1;02/2015
Brejo do Cruz;114,9;02/2015
Brejo dos Santos;129,6;02/2015
Caaporã;66,3;02/2015
Cabaceiras;12,2;02/2015
Cabedelo;29,2;02/2015
Cachoeira dos Índios;73,7;02/2015
Cacimba de Areia;22,6;02/2015
Cacimba de Dentro;32,0;02/2015
Cacimbas;73,5;02/2015
Caiçara;25,3;02/2015
Cajazeiras;54,7;02/2015
Cajazeirinhas;101,0;02/2015
Caldas Brandão;21,3;02/2015
Camalaú;49,6;02/2015
Campina Grande;19,6;02/2015
Capim;65,7;02/2015
Caraúbas;29,5;02/2015
Carrapateira;76,0;02/2015
Casserengue;13,8;02/2015
Catingueira;58,7;02/2015
Catolé do Rocha;106,6;02/2015
Caturité;8,5;02/2015
Conceição;20,5;02/2015
Condado;94,0;02/2015
Congo;168,4;02/2015
Coremas;81,2;02/2015
Coxixola;113,5;02/2015
Cruz do Espírito Santo;53,8;02/2015
Cubati;23,3;02/2015
Cuité;45,0;02/2015
Cuité de Mamanguape;37,9;02/2015
Cuitegi;59,0;02/2015
Curral Velho;21,2;02/2015
Damião;12,1;02/2015
Desterro;52,0;02/2015
Diamante;87,3;02/2015
Dona Inês;27,8;02/2015
Duas Estradas;37,9;02/2015
Emas;47,8;02/2015
Esperança;24,5;02/2015
Fagundes;17,4;02/2015
Frei Martinho;38,4;02/2015
Gado Bravo;36,8;02/2015
Guarabira;35,8;02/2015
Gurinhém;25,0;02/2015
Gurjão;22,8;02/2015
Ibiara;47,0;02/2015
Igaracy;93,6;02/2015
Imaculada;43,3;02/2015
Ingá;22,5;02/2015
Itabaiana;30,6;02/2015
Itaporanga;39,7;02/2015
Itapororoca;81,6;02/2015
Jacaraú;44,7;02/2015
Jericó;97,5;02/2015
João Pessoa;46,6;02/2015
Joca Claudino;16,3;02/2015
