Município;Pluviometria observada (mm);Data
Água Branca;228,4;03/2015
Aguiar;282,8;03/2015
Alagoa Grande;80,3;03/2015
Alagoa Nova;134,1;03/2015
Alagoinha;107,3;03/2015
Alcantil;15,2;03/2015
Algodão de Jandaíra;28,8;03/2015
Alhandra;270,1;03/2015
Amparo;92,3;03/2015
Aparecida;197,3;03/2015
Araçagi;271,4;03/2015
Arara;100,1;03/2015
Araruna;110,7;03/2015
Areia;133,3;03/2015
Areia de Baraúnas;117,2;03/2015
Areial;58,9;03/2015
Aroeiras;74,6;03/2015
Assunção;44,6;03/2015
Baía da Traição;331,1;03/2015
Bananeiras;163,3;03/2015
Baraúna;44,0;03/2015
Barra de Santana;88,8;03/2015
Barra de Santa Rosa;21,6;03/2015
Barra de São Miguel;20,1;03/2015
Bayeux;274,0;03/2015
Belém;146,9;03/2015
Belém do Brejo do Cruz;225,6;03/2015
Bernardino Batista;159,6;03/2015
Boa Ventura;252,4;03/2015
Boa Vista;3,4;03/2015
Bom Jesus;200,5;03/2015
Bom Sucesso;102,5;03/2015
Bonito de Santa Fé;261,7;03/2015
Boqueirão;18,1;03/2015
Borborema;132,6;03/2015
Brejo do Cruz;233,7;03/2015
Brejo dos Santos;211,0;03/2015
Caaporã;341,8;03/2015
Cabaceiras;1,5;03/2015
Cabedelo;241,5;03/2015
Cachoeira dos Índios;176,1;03/2015
Cacimba de Areia;110,0;03/2015
Cacimba de Dentro;97,4;03/2015
Cacimbas;97,7;03/2015
Caiçara;204,9;03/2015
Cajazeiras;226,5;03/2015
Cajazeirinhas;152,0;03/2015
Caldas Brandão;141,8;03/2015
Camalaú;20,6;03/2015
Campina Grande;53,3;03/2015
Capim;240,8;03/2015
Caraúbas;0,0;03/2015
Carrapateira;336,0;03/2015
Casserengue;49,1;03/2015
Catingueira;163,3;03/2015
Catolé do Rocha;202,0;03/2015
Caturité;18,0;03/2015
Conceição;231,5;03/2015
Condado;151,5;03/2015
Congo;10,4;03/2015
Coremas;303,7;03/2015
Coxixola;9,8;03/2015
Cruz do Espírito Santo;232,1;03/2015
Cubati;25,0;03/2015
Cuité;118,6;03/2015
Cuité de Mamanguape;189,1;03/2015
Cuitegi;89,6;03/2015
Curral Velho;207,7;03/2015
Damião;56,2;03/2015
Desterro;133,3;03/2015
Diamante;329,7;03/2015
Dona Inês;149,2;03/2015
Duas Estradas;167,7;03/2015
Emas;258,8;03/2015
Esperança;84,9;03/2015
Fagundes;80,1;03/2015
Frei Martinho;64,3;03/2015
Gado Bravo;68,0;03/2015
Guarabira;142,0;03/2015
Gurinhém;80,2;03/2015
Gurjão;8,1;03/2015
Ibiara;196,2;03/2015
Igaracy;346,7;03/2015
Imaculada;248,1;03/2015
Ingá;87,2;03/2015
Itabaiana;123,6;03/2015
Itaporanga;216,6;03/2015
Itapororoca;271,0;03/2015
Jacaraú;179,7;03/2015
Jericó;125,3;03/2015
João Pessoa;287,9;03/2015
Joca Claudino;155,0;03/2015
Juarez Távora;89,9;03/2015
Juazeirinho;36,2;03/2015
Junco do Seridó;45,1;03/2015
Juripiranga;157,1;03/2015
Juru;232,7;03/2015
Lagoa;196,1;03/2015
Lagoa de Dentro;256,4;03/2015
Lagoa Seca;68,2;03/2015
Lastro;225,3;03/2015
Livramento;53,3;03/2015
Logradouro;260,6;03/2015
Mãe d'Água;123,6;03/2015
Malta;157,6;03/2015
Mamanguape;246,3;03/2015
Manaíra;181,0;03/2015
Mari;147,9;03/2015
Marizópolis;254,0;03/2015
Massaranduba;68,2;03/2015
Mataraca;327,5;03/2015
Matinhas;114,0;03/2015
Mato Grosso;135,1;03/2015
Maturéia;86,8;03/2015
Mogeiro;62,9;03/2015
Montadas;16,8;03/2015
Monte Horebe;279,8;03/2015
Monteiro;72,5;03/2015
Mulungu;92,6;03/2015
Natuba;103,6;03/2015
Nazarezinho;320,7;03/2015
Nova Floresta;130,7;03/2015
Nova Olinda;221,3;03/2015
Nova Palmeira;99,3;03/2015
Olho d'Água;213,8;03/2015
Olivedos;28,4;03/2015
Ouro Velho;76,4;03/2015
Parari;56,1;03/2015
Passagem;82,7;03/2015
Patos;144,8;03/2015
Paulista;161,9;03/2015
Pedra Branca;194,3;03/2015
Pedra Lavrada;50,1;03/2015
Pedras de Fogo;186,0;03/2015
Pedro Régis;247,3;03/2015
Piancó;191,5;03/2015
Picuí;26,9;03/2015
Pilar;111,2;03/2015
Pilões;172,7;03/2015
Pilõezinhos;186,0;03/2015
