Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;68,9;05/2018
Alto Sertão;44,1;05/2018
Brejo;96,6;05/2018
Cariri;36,6;05/2018
Curimataú;20,3;05/2018
Litoral;172,9;05/2018
Sertão;41,7;05/2018
