Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;32,2;12/2001
Alto Sertão;95,9;12/2001
Brejo;34,5;12/2001
Cariri;14,2;12/2001
Curimataú;8,5;12/2001
Litoral;49,1;12/2001
Sertão;26,7;12/2001
