Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;19,0;02/2017
Alto Sertão;140,4;02/2017
Brejo;45,8;02/2017
Cariri;16,7;02/2017
Curimataú;22,6;02/2017
Litoral;68,2;02/2017
Sertão;148,2;02/2017
