Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;3,5;01/2021
Alto Sertão;66,2;01/2021
Brejo;9,5;01/2021
Cariri;2,4;01/2021
Curimataú;0,9;01/2021
Litoral;37,7;01/2021
Sertão;30,5;01/2021
