Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;30,0;12/2023
Alto Sertão;35,2;12/2023
Brejo;42,1;12/2023
Cariri;33,0;12/2023
Curimataú;34,6;12/2023
Litoral;58,2;12/2023
Sertão;27,3;12/2023
