Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;119,4;06/2020
Alto Sertão;38,3;06/2020
Brejo;132,8;06/2020
Cariri;40,6;06/2020
Curimataú;18,0;06/2020
Litoral;274,9;06/2020
Sertão;40,7;06/2020
