Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;70,0;12/1997
Alto Sertão;197,3;12/1997
Brejo;115,5;12/1997
Cariri;55,0;12/1997
Curimataú;25,4;12/1997
Litoral;129,8;12/1997
Sertão;166,9;12/1997
