Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;27,8;09/2001
Alto Sertão;0,9;09/2001
Brejo;41,3;09/2001
Cariri;11,0;09/2001
Curimataú;11,9;09/2001
Litoral;43,8;09/2001
Sertão;3,1;09/2001
