Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;124,3;04/2016
Alto Sertão;76,1;04/2016
Brejo;173,0;04/2016
Cariri;36,8;04/2016
Curimataú;55,4;04/2016
Litoral;277,6;04/2016
Sertão;60,2;04/2016
