Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;22,5;06/2021
Alto Sertão;6,2;06/2021
Brejo;36,8;06/2021
Cariri;6,7;06/2021
Curimataú;6,0;06/2021
Litoral;84,3;06/2021
Sertão;2,3;06/2021
