Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;59,8;03/2016
Alto Sertão;231,4;03/2016
Brejo;96,5;03/2016
Cariri;36,3;03/2016
Curimataú;61,3;03/2016
Litoral;159,4;03/2016
Sertão;189,7;03/2016
