Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;7,1;12/2020
Alto Sertão;26,9;12/2020
Brejo;13,8;12/2020
Cariri;1,5;12/2020
Curimataú;0,4;12/2020
Litoral;27,9;12/2020
Sertão;12,9;12/2020
