Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;88,2;05/1995
Alto Sertão;196,1;05/1995
Brejo;143,8;05/1995
Cariri;82,8;05/1995
Curimataú;85,4;05/1995
Litoral;216,8;05/1995
Sertão;238,9;05/1995
