Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;26,0;09/2017
Alto Sertão;1,1;09/2017
Brejo;49,4;09/2017
Cariri;4,2;09/2017
Curimataú;2,1;09/2017
Litoral;91,1;09/2017
Sertão;1,1;09/2017
