Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;8,8;10/2021
Alto Sertão;25,2;10/2021
Brejo;17,3;10/2021
Cariri;1,6;10/2021
Curimataú;0,5;10/2021
Litoral;28,8;10/2021
Sertão;3,2;10/2021
