Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;92,4;05/2017
Alto Sertão;46,1;05/2017
Brejo;152,8;05/2017
Cariri;27,8;05/2017
Curimataú;28,3;05/2017
Litoral;364,1;05/2017
Sertão;37,1;05/2017
