Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;12,9;12/1995
Alto Sertão;140,6;12/1995
Brejo;21,1;12/1995
Cariri;21,4;12/1995
Curimataú;26,0;12/1995
Litoral;54,0;12/1995
Sertão;78,6;12/1995
