Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;29,1;11/2011
Alto Sertão;41,2;11/2011
Brejo;72,9;11/2011
Cariri;10,9;11/2011
Curimataú;4,7;11/2011
Litoral;61,2;11/2011
Sertão;31,3;11/2011
