Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;123,7;09/2000
Alto Sertão;20,0;09/2000
Brejo;201,3;09/2000
Cariri;29,9;09/2000
Curimataú;33,3;09/2000
Litoral;284,6;09/2000
Sertão;22,6;09/2000
