Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;91,0;06/2014
Alto Sertão;14,8;06/2014
Brejo;126,1;06/2014
Cariri;21,3;06/2014
Curimataú;26,5;06/2014
Litoral;227,4;06/2014
Sertão;14,1;06/2014
