Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;50,2;03/1998
Alto Sertão;103,5;03/1998
Brejo;70,0;03/1998
Cariri;26,3;03/1998
Curimataú;32,8;03/1998
Litoral;59,5;03/1998
Sertão;69,1;03/1998
