Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;105,5;06/2015
Alto Sertão;31,8;06/2015
Brejo;169,6;06/2015
Cariri;26,0;06/2015
Curimataú;20,2;06/2015
Litoral;277,6;06/2015
Sertão;18,3;06/2015
