Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;40,1;09/2013
Alto Sertão;1,1;09/2013
Brejo;64,3;09/2013
Cariri;3,9;09/2013
Curimataú;10,7;09/2013
Litoral;208,4;09/2013
Sertão;0,5;09/2013
