Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;47,4;12/2021
Alto Sertão;125,0;12/2021
Brejo;55,3;12/2021
Cariri;39,2;12/2021
Curimataú;26,4;12/2021
Litoral;56,0;12/2021
Sertão;72,5;12/2021
