Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;80,4;05/2002
Alto Sertão;114,9;05/2002
Brejo;102,3;05/2002
Cariri;73,3;05/2002
Curimataú;72,0;05/2002
Litoral;178,1;05/2002
Sertão;104,7;05/2002
