Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;21,5;08/2017
Alto Sertão;0,6;08/2017
Brejo;43,2;08/2017
Cariri;7,0;08/2017
Curimataú;0,9;08/2017
Litoral;67,9;08/2017
Sertão;1,3;08/2017
