Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;40,9;09/1996
Alto Sertão;0,7;09/1996
Brejo;66,8;09/1996
Cariri;9,8;09/1996
Curimataú;13,1;09/1996
Litoral;86,6;09/1996
Sertão;5,3;09/1996
