Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;50,6;12/2017
Alto Sertão;114,6;12/2017
Brejo;102,5;12/2017
Cariri;33,4;12/2017
Curimataú;18,6;12/2017
Litoral;124,8;12/2017
Sertão;85,2;12/2017
