Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;161,1;04/2024
Alto Sertão;234,4;04/2024
Brejo;184,5;04/2024
Cariri;151,7;04/2024
Curimataú;134,1;04/2024
Litoral;248,8;04/2024
Sertão;144,2;04/2024
