Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;95,1;06/2008
Alto Sertão;18,0;06/2008
Brejo;157,4;06/2008
Cariri;28,6;06/2008
Curimataú;34,5;06/2008
Litoral;307,8;06/2008
Sertão;26,1;06/2008
