Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;76,1;03/1995
Alto Sertão;197,4;03/1995
Brejo;94,7;03/1995
Cariri;116,1;03/1995
Curimataú;104,2;03/1995
Litoral;116,1;03/1995
Sertão;172,8;03/1995
