Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;65,1;11/2000
Alto Sertão;74,6;11/2000
Brejo;80,1;11/2000
Cariri;64,8;11/2000
Curimataú;39,4;11/2000
Litoral;149,5;11/2000
Sertão;59,4;11/2000
