Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;7,1;04/2012
Alto Sertão;59,5;04/2012
Brejo;13,4;04/2012
Cariri;3,6;04/2012
Curimataú;0,2;04/2012
Litoral;30,6;04/2012
Sertão;45,6;04/2012
