Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;112,4;04/1997
Alto Sertão;139,3;04/1997
Brejo;119,5;04/1997
Cariri;64,6;04/1997
Curimataú;98,9;04/1997
Litoral;264,8;04/1997
Sertão;138,5;04/1997
