Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;39,6;09/2023
Alto Sertão;4,6;09/2023
Brejo;61,2;09/2023
Cariri;4,0;09/2023
Curimataú;7,6;09/2023
Litoral;92,9;09/2023
Sertão;0,5;09/2023
