Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;21,4;03/2013
Alto Sertão;186,3;03/2013
Brejo;23,7;03/2013
Cariri;20,7;03/2013
Curimataú;14,9;03/2013
Litoral;34,2;03/2013
Sertão;79,2;03/2013
