Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;156,2;06/2024
Alto Sertão;26,2;06/2024
Brejo;208,8;06/2024
Cariri;43,8;06/2024
Curimataú;44,3;06/2024
Litoral;310,0;06/2024
Sertão;26,6;06/2024
