Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;142,0;06/2001
Alto Sertão;28,8;06/2001
Brejo;155,9;06/2001
Cariri;95,6;06/2001
Curimataú;49,0;06/2001
Litoral;234,9;06/2001
Sertão;55,3;06/2001
