Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;33,9;06/2016
Alto Sertão;5,4;06/2016
Brejo;67,9;06/2016
Cariri;6,2;06/2016
Curimataú;6,8;06/2016
Litoral;171,8;06/2016
Sertão;12,8;06/2016
