Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;4,3;09/2018
Alto Sertão;2,3;09/2018
Brejo;7,4;09/2018
Cariri;0,3;09/2018
Curimataú;0,0;09/2018
Litoral;26,4;09/2018
Sertão;0,0;09/2018
