Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;77,3;04/2020
Alto Sertão;202,5;04/2020
Brejo;96,0;04/2020
Cariri;101,5;04/2020
Curimataú;67,9;04/2020
Litoral;207,9;04/2020
Sertão;221,5;04/2020
