Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;93,4;06/2017
Alto Sertão;50,0;06/2017
Brejo;117,1;06/2017
Cariri;31,6;06/2017
Curimataú;33,7;06/2017
Litoral;236,2;06/2017
Sertão;29,6;06/2017
