Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;213,5;06/2000
Alto Sertão;30,7;06/2000
Brejo;289,6;06/2000
Cariri;51,0;06/2000
Curimataú;80,9;06/2000
Litoral;471,5;06/2000
Sertão;27,0;06/2000
