Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;74,6;04/2001
Alto Sertão;48,6;04/2001
Brejo;125,8;04/2001
Cariri;30,2;04/2001
Curimataú;67,1;04/2001
Litoral;226,1;04/2001
Sertão;100,3;04/2001
