Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;68,0;04/2022
Alto Sertão;150,0;04/2022
Brejo;108,6;04/2022
Cariri;42,3;04/2022
Curimataú;37,3;04/2022
Litoral;130,0;04/2022
Sertão;152,0;04/2022
