Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;101,6;01/1997
Alto Sertão;264,3;01/1997
Brejo;141,3;01/1997
Cariri;74,8;01/1997
Curimataú;59,2;01/1997
Litoral;201,8;01/1997
Sertão;181,7;01/1997
