Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;28,4;02/2013
Alto Sertão;66,9;02/2013
Brejo;39,3;02/2013
Cariri;7,3;02/2013
Curimataú;6,7;02/2013
Litoral;59,9;02/2013
Sertão;42,6;02/2013
