Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;77,6;05/1996
Alto Sertão;131,9;05/1996
Brejo;92,0;05/1996
Cariri;48,5;05/1996
Curimataú;32,3;05/1996
Litoral;197,5;05/1996
Sertão;117,3;05/1996
