Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;126,7;02/2019
Alto Sertão;195,9;02/2019
Brejo;180,7;02/2019
Cariri;100,8;02/2019
Curimataú;119,9;02/2019
Litoral;193,4;02/2019
Sertão;156,7;02/2019
