Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;137,4;05/2016
Alto Sertão;40,3;05/2016
Brejo;212,4;05/2016
Cariri;19,1;05/2016
Curimataú;43,8;05/2016
Litoral;317,5;05/2016
Sertão;23,8;05/2016
